X(mm),Y(mm)
100.000000,0.000000
99.572000,0.226100
98.296000,0.822200
96.194000,1.642100
93.301000,2.581400
89.668000,3.615300
85.355000,4.756800
80.438000,6.000600
75.000000,7.304700
69.134000,8.595900
62.941000,9.787900
56.526000,10.799000
50.000000,11.562400
43.474000,12.031400
37.059000,12.179700
33.928000,12.130300
30.866000,11.998300
27.886000,11.784900
25.000000,11.491900
22.221000,11.122400
19.562000,10.680100
17.033000,10.168500
14.645000,9.591200
12.408000,8.954700
10.332000,8.270000
8.427000,7.551800
6.699000,6.811600
5.156000,6.052000
3.806000,5.263600
2.653000,4.430200
1.704000,3.548400
0.961000,2.636200
0.428000,1.742100
0.107000,0.926500
0.000000,0.241100
0.107000,-0.295800
0.428000,-0.702100
0.961000,-1.015600
1.704000,-1.275100
2.653000,-1.503400
3.806000,-1.706400
5.156000,-1.879100
6.699000,-2.017800
8.427000,-2.123000
10.332000,-2.198700
12.408000,-2.248200
14.645000,-2.271800
17.033000,-2.266800
19.562000,-2.229700
22.221000,-2.156700
25.000000,-2.043100
27.886000,-1.883800
30.866000,-1.675200
33.928000,-1.417900
37.059000,-1.117600
43.474000,-0.421000
50.000000,0.340900
56.526000,1.091900
62.941000,1.760500
69.134000,2.287100
75.000000,2.629100
80.438000,2.758200
85.355000,2.660800
89.668000,2.342900
93.301000,1.840800
96.194000,1.228600
98.296000,0.623000
99.572000,0.169600
100.000000,0.000000
