X(mm),Y(mm)
250.000000,0.000000
249.520000,0.057500
248.107500,0.260000
245.817500,0.627500
242.707500,1.160000
238.815000,1.845000
234.177500,2.682500
228.847500,3.675000
222.887500,4.810000
216.357500,6.077500
209.320000,7.452500
201.845000,8.912500
194.002500,10.422500
185.842500,11.925000
177.395000,13.385000
168.710000,14.800000
159.835000,16.135000
150.817500,17.372500
141.720000,18.497500
132.580000,19.477500
123.435000,20.312500
114.350000,20.977500
105.355000,21.460000
96.502500,21.765000
87.832500,21.872500
79.385000,21.782500
71.207500,21.497500
63.330000,21.010000
55.777500,20.330000
48.600000,19.467500
41.822500,18.425000
35.472500,17.227500
29.582500,15.880000
24.170000,14.400000
19.262500,12.812500
14.880000,11.137500
11.032500,9.402500
7.742500,7.635000
5.020000,5.865000
2.870000,4.137500
1.310000,2.495000
0.347500,0.995000
0.017500,-0.227500
0.535000,-1.232500
1.905000,-2.177500
3.967500,-2.982500
6.800000,-3.590000
10.437500,-4.050000
14.845000,-4.407500
19.987500,-4.675000
25.832500,-4.860000
32.337500,-4.972500
39.460000,-5.022500
47.142500,-5.015000
55.330000,-4.950000
63.975000,-4.817500
73.045000,-4.622500
82.482500,-4.392500
92.222500,-4.140000
102.195000,-3.877500
112.332500,-3.612500
122.552500,-3.345000
132.790000,-3.075000
142.970000,-2.807500
153.030000,-2.545000
162.900000,-2.285000
172.522500,-2.032500
181.835000,-1.790000
190.757500,-1.555000
199.202500,-1.332500
207.102500,-1.125000
214.482500,-0.932500
221.360000,-0.752500
227.657500,-0.587500
233.305000,-0.437500
238.232500,-0.310000
242.372500,-0.200000
245.665000,-0.115000
248.060000,-0.050000
249.512500,-0.012500
250.000000,0.000000
